locality,bhk,area_sqft,age_years,floor,total_floors,parking_spaces,gym,swimming_pool,security,garden,elevator,furnishing,metro_distance_km,it_distance_km,price_lakhs
Pimpri,2,966,16,2,9,0,1,0,1,0,1,Semi-Furnished,0.5,14.2,59.9
Pashan,3,1495,2,4,12,1,0,1,1,1,1,Unfurnished,10.4,10.6,181.98
Wagholi,2,873,22,9,17,1,0,1,1,1,1,Fully-Furnished,6.2,2.9,42.89
Kharadi,1,621,23,9,18,1,1,0,1,0,1,Unfurnished,8.8,7,44.2
Aundh,2,867,9,3,3,1,0,1,1,1,0,Fully-Furnished,3.4,24.1,155.1
Wakad,3,1412,18,8,12,1,0,1,1,1,1,Unfurnished,6.8,7.8,150.65
Baner,2,1162,2,2,4,0,1,0,1,0,1,Semi-Furnished,1.8,2.7,216.08
Mundhwa,1,652,16,8,15,2,0,0,1,1,1,Unfurnished,6.6,13.2,51.65
Wakad,3,1503,6,5,9,1,0,0,0,0,1,Semi-Furnished,5.3,6.2,284.36
Mundhwa,2,1143,1,5,10,1,1,0,1,1,1,Semi-Furnished,7.1,3.1,144.44
Pisoli,3,1245,6,4,16,1,1,1,1,0,1,Unfurnished,3.1,1.2,79.93
Chinchwad,2,1347,18,8,12,0,1,1,1,1,1,Semi-Furnished,1.5,5.5,90.36
Baner,2,929,13,10,13,0,0,1,1,1,1,Fully-Furnished,0.9,4.7,161.05
Pimpri,2,893,24,8,8,1,1,0,1,0,1,Fully-Furnished,3.4,1.4,59.64
Undri,2,1007,10,11,13,0,0,0,1,1,1,Semi-Furnished,2.8,6.1,86.91
Wagholi,1,400,2,5,13,1,1,0,1,1,1,Semi-Furnished,5.3,2.6,27.92
Wagholi,2,881,1,9,9,1,1,1,1,0,1,Semi-Furnished,0.6,17.4,67.75
Pashan,3,1501,15,1,6,2,1,0,0,1,1,Semi-Furnished,2.1,2,184.2
Baner,1,553,3,4,17,1,0,1,1,1,1,Semi-Furnished,2.9,7.3,81.24
Undri,4,1485,7,5,17,1,1,0,1,1,1,Unfurnished,9.8,7.7,159.19
Bavdhan,2,1318,25,9,19,1,0,0,1,1,1,Semi-Furnished,2.1,2.4,130.73
Hinjewadi,2,1190,15,6,14,1,1,0,1,0,1,Semi-Furnished,0.5,1.6,118.37
Pisoli,2,1067,24,2,16,1,1,1,1,1,1,Semi-Furnished,2.4,1.5,51.07
Hinjewadi,2,514,1,5,7,2,0,0,1,0,1,Fully-Furnished,1.1,3.8,68.91
Koregaon Park,3,1726,13,1,7,1,1,0,1,1,1,Fully-Furnished,3.5,1.2,392.57
Wagholi,2,1216,10,18,18,0,0,1,1,1,1,Semi-Furnished,2.6,10.7,70.78
Wakad,3,1204,22,4,6,0,0,0,1,0,1,Unfurnished,0.7,6.1,130.45
Bavdhan,1,607,16,6,16,0,0,1,1,0,1,Fully-Furnished,9,5.3,55.97
Hinjewadi,1,759,20,8,11,0,0,1,1,1,1,Unfurnished,2.3,4.9,54.86
Pashan,3,1370,18,11,12,2,1,0,1,1,1,Fully-Furnished,10.2,12.8,159.92
Wakad,1,628,18,10,14,0,1,0,1,0,1,Unfurnished,0.7,2.9,61.12
Kalyani Nagar,3,1282,23,10,18,1,0,1,1,0,1,Unfurnished,0.9,7,235.43
Hinjewadi,2,1135,20,3,4,1,0,0,0,1,1,Semi-Furnished,4.5,9.1,100.11
Viman Nagar,1,517,17,9,14,1,0,0,1,1,1,Fully-Furnished,4.7,9.2,65.1
Chinchwad,3,1396,10,4,6,2,0,1,1,1,1,Fully-Furnished,1.9,8.5,155
Wagholi,2,1082,25,1,15,0,0,0,1,0,1,Unfurnished,6.4,3.8,39.97
Kothrud,1,683,7,1,18,1,1,0,1,1,1,Semi-Furnished,0.8,12.6,83.87
Pashan,3,1661,9,4,16,0,1,0,1,0,1,Fully-Furnished,1.7,12.3,201.85
Hinjewadi,2,1049,11,14,20,1,1,1,1,1,1,Semi-Furnished,9.5,5.3,113.42
Pimpri,1,518,11,8,9,1,0,0,1,0,1,Fully-Furnished,1.5,3,45.23
Kothrud,1,716,8,2,9,2,1,0,1,1,1,Fully-Furnished,5.2,8.8,102.15
Kalyani Nagar,3,1398,7,7,7,1,0,1,1,0,1,Fully-Furnished,0.7,5,370.39
Hinjewadi,3,1595,19,2,3,1,0,0,1,0,1,Unfurnished,1.8,1.6,155.29
Koregaon Park,2,1062,25,10,10,1,0,0,1,1,1,Semi-Furnished,3.4,1.5,198.36
Pashan,3,1449,16,4,6,1,1,0,1,1,1,Semi-Furnished,0.7,9.6,160.32
Pashan,2,929,0,4,4,1,1,0,1,0,1,Unfurnished,0.8,22.6,111.18
Baner,1,455,19,11,20,1,1,0,1,0,1,Semi-Furnished,5.5,15.7,42.48
Wakad,3,1256,20,7,20,1,1,0,1,0,1,Semi-Furnished,5,5.1,143.21
Hadapsar,2,1129,21,6,11,2,1,0,0,0,1,Semi-Furnished,0.9,4.4,94.37
Kothrud,3,1396,17,3,4,1,1,1,1,0,1,Unfurnished,0.7,1.6,186.66
Chinchwad,2,1048,11,5,6,1,0,0,1,0,1,Semi-Furnished,4.6,5.4,83.6
Wakad,3,1378,18,7,10,1,1,1,1,1,1,Unfurnished,1.5,11.1,177.18
Pimpri,1,622,8,6,12,1,0,0,1,0,1,Semi-Furnished,0.7,5,43.92
Koregaon Park,1,602,16,7,9,1,0,0,1,1,1,Semi-Furnished,3.5,6.9,125.21
Baner,3,1831,4,1,8,1,0,1,1,0,1,Unfurnished,3.1,12.6,259.07
Kondhwa,1,819,13,3,6,1,1,0,1,0,1,Fully-Furnished,1.5,2,65.25
Kalyani Nagar,1,400,9,3,9,1,0,0,1,0,1,Unfurnished,3.1,1.4,70.84
Wagholi,3,1468,16,12,20,0,1,0,0,1,1,Fully-Furnished,1.6,9.4,107.32
Pisoli,2,865,12,10,16,0,0,0,1,1,1,Fully-Furnished,7.8,9.6,45.77
Kothrud,1,468,3,7,10,1,1,0,1,0,1,Unfurnished,8.6,11.1,64.77
Kharadi,1,718,20,5,6,1,1,0,1,1,1,Fully-Furnished,13.6,1.8,68.06
Aundh,1,429,8,3,9,1,1,1,0,1,1,Semi-Furnished,11,10.2,73.36
Pisoli,3,1377,14,11,13,1,1,0,1,1,1,Semi-Furnished,2.1,2.6,93.79
Kothrud,2,1001,9,15,17,0,0,0,1,1,1,Unfurnished,4.9,15.5,115.03
Mundhwa,2,932,14,2,20,1,1,1,1,0,1,Unfurnished,2.3,1.7,93.51
Kalyani Nagar,2,1018,25,12,13,0,1,0,1,1,1,Semi-Furnished,1.3,6.6,167.96
Mundhwa,1,447,11,7,12,1,0,0,1,1,1,Unfurnished,0.9,6.6,44.4
Wakad,2,1233,12,5,12,1,1,1,1,0,1,Semi-Furnished,2.7,10.6,159.67
Hinjewadi,3,1812,9,3,15,1,1,0,1,1,1,Fully-Furnished,6.8,3.6,258.32
Kondhwa,1,665,21,12,16,0,0,1,1,1,1,Unfurnished,4.2,2.2,46.61
Hinjewadi,1,706,9,5,6,1,1,1,0,0,1,Semi-Furnished,2,3.9,67.17
Hinjewadi,2,960,4,3,8,1,1,1,0,0,1,Semi-Furnished,2.7,8.7,121.44
Aundh,4,2207,19,12,12,1,0,0,1,1,1,Fully-Furnished,6.4,15.9,332.87
Kothrud,3,1059,18,15,17,1,1,0,1,0,1,Unfurnished,2.3,20.6,114.63
Mundhwa,1,400,8,4,4,1,1,0,1,1,0,Semi-Furnished,3.5,2.4,42.44
Pashan,3,1473,4,3,16,2,0,0,1,0,1,Unfurnished,1.1,3.1,185.07
Kondhwa,2,991,12,3,5,0,0,0,1,0,1,Unfurnished,3.8,1.9,82.24
Kalyani Nagar,2,920,15,7,7,1,1,0,0,0,1,Fully-Furnished,1.1,1.5,195.83
Wakad,3,1379,7,2,12,0,1,1,1,0,1,Fully-Furnished,1.2,3.3,205.26
Mundhwa,2,1295,20,19,19,0,0,0,1,0,1,Semi-Furnished,0.6,9,105.19
Kondhwa,4,1625,2,18,19,1,1,0,1,0,1,Semi-Furnished,6.7,13.7,181.3
Kothrud,2,983,0,13,14,0,0,1,0,1,1,Semi-Furnished,5.4,7.9,146.19
Hinjewadi,1,547,17,11,13,0,1,0,1,1,1,Fully-Furnished,1.9,4.3,50.51
Baner,3,1097,14,3,4,0,1,1,1,0,1,Fully-Furnished,2.4,7.9,199.41
Undri,2,1086,24,5,9,1,1,1,1,0,1,Unfurnished,2.7,4.8,78.92
Warje,3,1374,12,3,13,1,1,1,1,1,1,Semi-Furnished,2.8,2.4,154.93
Baner,2,887,5,10,20,1,0,1,1,1,1,Semi-Furnished,0.6,2.9,140.46
Pashan,2,903,1,10,14,2,0,1,1,0,1,Semi-Furnished,0.9,12.1,115.88
Kothrud,2,1253,23,1,8,0,1,1,0,0,1,Semi-Furnished,5.2,4.5,121.55
Kothrud,2,1012,18,2,4,1,1,0,1,1,1,Unfurnished,3.2,7.8,103.29
Pimpri,1,496,3,3,3,0,1,1,0,1,1,Unfurnished,1.5,3.3,39.18
Undri,1,693,4,4,5,0,1,1,1,1,1,Fully-Furnished,1.8,22.5,72.99
Kothrud,3,1120,17,10,20,1,1,1,1,1,1,Semi-Furnished,0.8,1.8,166.88
Kondhwa,1,535,6,2,7,1,0,0,1,1,1,Semi-Furnished,1.1,2.7,44.9
Mundhwa,3,1410,2,7,12,2,1,0,1,1,1,Unfurnished,2.1,21.2,152.25
Hadapsar,2,964,14,17,17,1,1,1,1,0,1,Fully-Furnished,11,11,85.34
Kondhwa,3,1285,1,5,6,0,0,0,1,0,1,Fully-Furnished,1.1,6.5,155.14
Chinchwad,3,1420,8,9,9,0,1,1,0,1,1,Semi-Furnished,3,2.6,155
Kharadi,3,1267,23,10,13,0,1,0,1,1,1,Unfurnished,1.7,3.8,136.62
Viman Nagar,3,1074,13,2,3,1,1,1,1,0,1,Semi-Furnished,0.9,5.7,191.95
Pashan,1,664,1,8,8,1,1,0,0,1,1,Unfurnished,1,4.3,74.71
Warje,1,535,11,18,19,0,0,0,1,0,1,Unfurnished,1.7,1.7,51.14
Warje,3,1601,13,3,10,1,1,1,0,0,1,Fully-Furnished,1.4,6.7,184.92
Pashan,2,1079,9,1,18,0,0,0,1,1,1,Unfurnished,2.4,3.7,118.58
Chinchwad,2,1087,20,10,18,1,1,0,1,1,1,Semi-Furnished,5.8,17.8,69.23
Kothrud,1,637,1,7,20,1,0,0,1,1,1,Fully-Furnished,8.9,2,87.03
Mundhwa,3,1417,3,1,7,1,1,0,1,1,1,Unfurnished,3.1,10.2,151.34
Kondhwa,2,1051,1,1,4,0,0,0,1,1,1,Unfurnished,1.2,1.9,90.49
Mundhwa,2,1059,12,10,12,1,1,0,1,0,1,Fully-Furnished,3.8,4.7,113.02
Kothrud,2,1131,3,10,16,1,1,1,0,0,1,Fully-Furnished,2,9.5,178.69
Pisoli,2,694,23,4,4,0,1,1,1,0,1,Unfurnished,2.4,2.8,27.73
Viman Nagar,1,602,10,5,16,1,0,0,1,0,1,Fully-Furnished,1.3,12.5,97.95
Kalyani Nagar,3,1566,16,9,9,1,1,0,1,0,1,Fully-Furnished,7.6,5.9,285.72
Wagholi,2,778,24,10,11,1,1,0,1,1,1,Fully-Furnished,0.9,8.9,46.83
Chinchwad,3,1527,22,11,18,1,1,1,1,0,1,Semi-Furnished,7.2,8.8,132.62
Wagholi,2,931,12,13,14,1,0,0,1,0,1,Semi-Furnished,1.4,7.8,55.09
Pimpri,3,1414,6,9,9,0,1,0,0,1,1,Unfurnished,4.8,11.5,102.24
Kondhwa,1,704,7,1,4,1,1,0,1,0,1,Fully-Furnished,0.9,10.4,55.56
Bavdhan,3,1346,15,7,18,1,0,0,0,1,1,Semi-Furnished,5.3,1.8,144.32
Aundh,2,1114,23,2,4,1,1,1,0,1,1,Unfurnished,4.3,6.1,139.47
Chinchwad,3,1483,0,10,12,1,1,0,1,1,1,Semi-Furnished,1.4,3.1,209.1
Hinjewadi,3,1044,14,4,11,1,0,1,1,1,1,Unfurnished,2.4,15.7,115.36
Hadapsar,3,1456,18,3,9,1,1,0,1,0,1,Semi-Furnished,2.6,5.7,119.93
Wakad,1,611,4,11,18,2,0,0,1,0,1,Unfurnished,4.1,13.8,79.32
Pisoli,3,1242,0,11,11,1,0,1,1,0,1,Semi-Furnished,3.1,5.7,100
Wakad,2,1239,9,10,14,0,1,0,1,1,1,Unfurnished,8.7,14,134.22
Wagholi,3,1202,24,7,20,1,1,0,1,1,1,Semi-Furnished,13.1,10.1,54.75
Kothrud,1,606,18,1,6,1,1,0,1,0,1,Fully-Furnished,3.2,3.5,69.18
Pashan,1,584,6,3,18,1,1,0,0,0,1,Semi-Furnished,5.4,1,61.71
Wagholi,2,848,25,12,12,0,0,0,1,0,1,Semi-Furnished,2.8,13.6,31.33
Wagholi,4,1478,2,2,18,0,0,0,1,1,1,Fully-Furnished,4.5,4,110.74
Kothrud,4,1735,12,13,17,1,1,1,1,1,1,Unfurnished,1,2,251.51
Kharadi,4,1126,12,5,19,1,0,0,0,0,1,Semi-Furnished,7.9,3.3,143.35
Wagholi,2,1277,12,4,10,1,0,0,1,1,1,Unfurnished,0.5,6.4,83.15
Bavdhan,2,960,0,4,10,0,1,0,1,1,1,Unfurnished,0.8,29.8,93.58
Kalyani Nagar,2,1386,7,7,20,1,1,0,1,0,1,Fully-Furnished,0.7,7.9,326.01
Pisoli,2,1030,19,4,13,1,0,1,1,0,1,Unfurnished,1.2,2.1,47.75
Pisoli,3,1393,5,16,16,0,0,1,1,1,1,Semi-Furnished,3,1.3,96.38
Hinjewadi,2,962,5,16,20,0,0,1,0,0,1,Unfurnished,2.7,3.9,121.24
Bavdhan,4,2112,17,5,19,1,0,0,0,0,1,Unfurnished,1,2,204.05
Wagholi,3,1118,6,3,4,1,1,0,0,1,1,Semi-Furnished,3.6,3.6,82.02
Viman Nagar,2,1140,10,1,12,0,0,1,1,1,1,Fully-Furnished,0.6,2.3,202.59
Mundhwa,3,1544,12,9,10,1,0,0,1,0,1,Unfurnished,0.6,1.5,155.5
Undri,2,921,25,11,18,2,0,0,1,0,1,Unfurnished,3.7,2.4,65.78
Pimpri,2,964,18,10,16,0,0,0,1,0,1,Semi-Furnished,4.3,10.7,52.82
Hadapsar,2,946,15,15,18,0,1,0,1,0,1,Fully-Furnished,3.8,2.1,99.58
Wagholi,4,1948,1,2,19,1,0,1,0,0,1,Unfurnished,0.5,1.4,160.71
Aundh,1,633,4,1,3,1,0,1,1,1,1,Semi-Furnished,2.1,12.2,95.5
Koregaon Park,2,922,13,1,3,1,0,1,0,1,1,Fully-Furnished,1.4,3.4,240
Kharadi,1,444,3,5,19,0,1,0,1,1,1,Unfurnished,3.4,3.6,55.38
Warje,2,688,7,5,10,1,1,1,1,1,1,Unfurnished,1.5,15.8,84.77
Warje,2,918,15,1,4,1,0,1,1,0,1,Fully-Furnished,6.6,4.3,92.21
Kondhwa,3,1423,7,8,9,0,1,1,1,1,1,Semi-Furnished,2.2,1.1,158.67
Kharadi,3,1462,10,1,3,1,1,1,1,0,0,Unfurnished,3.5,2.5,158.24
Warje,3,1434,17,7,13,1,0,1,1,1,1,Fully-Furnished,13,4.7,146.98
Kalyani Nagar,1,546,7,3,5,1,1,0,1,0,1,Semi-Furnished,0.6,13.3,100.95
Pashan,2,1029,11,13,20,1,1,1,0,1,1,Semi-Furnished,1.5,5,116.57
Baner,1,703,4,12,15,1,0,0,1,0,1,Fully-Furnished,1.2,1.1,126.96
Pashan,2,1038,8,2,6,0,1,0,1,0,1,Unfurnished,3.3,6.5,118.88
Wagholi,1,416,19,7,13,0,1,1,1,1,1,Fully-Furnished,2.7,1.2,21.08
Aundh,2,1078,5,3,15,0,0,0,0,0,1,Semi-Furnished,0.8,5.6,179.25
Undri,3,1278,11,4,11,1,1,1,1,0,1,Unfurnished,1.5,3.2,114.21
Warje,2,854,19,13,15,1,1,0,1,1,1,Semi-Furnished,3,4.2,91.53
Chinchwad,2,1074,22,8,9,1,1,1,1,1,1,Semi-Furnished,4.5,2.2,84.34
Pisoli,3,1285,10,5,15,1,0,0,1,1,1,Semi-Furnished,2.6,5.5,77.55
Wagholi,1,715,23,7,17,1,0,1,1,1,1,Semi-Furnished,0.8,1.4,33.53
Undri,1,597,9,5,10,1,1,1,0,1,1,Semi-Furnished,4,3.9,62.06
Warje,2,1106,22,2,16,1,0,1,1,1,1,Unfurnished,5.3,6.9,83.41
Aundh,3,1524,11,1,8,1,1,1,1,0,1,Semi-Furnished,1.8,1.5,254.74
Wakad,1,593,8,9,10,1,1,1,1,0,1,Semi-Furnished,1.1,4.9,87.84
Pisoli,3,1476,4,1,14,1,0,1,0,1,1,Semi-Furnished,5.4,6.4,92.99
Kothrud,2,1125,14,9,9,1,1,0,1,0,1,Unfurnished,1.4,4.4,146.46
Koregaon Park,3,1486,20,6,6,1,1,1,1,1,1,Unfurnished,1.1,5.2,363.33
Pashan,1,492,12,3,8,1,1,0,1,0,1,Semi-Furnished,8.2,18.7,45.53
Warje,1,596,6,5,9,1,1,0,0,1,1,Unfurnished,6.4,10.3,60.17
Hadapsar,1,694,3,11,11,1,1,1,1,1,1,Semi-Furnished,0.6,5.5,78.72
Kothrud,3,1313,19,5,8,2,1,1,1,0,1,Unfurnished,0.7,7,166.42
Kothrud,3,1651,16,7,15,1,1,0,1,1,1,Fully-Furnished,0.7,2.9,226.17
Kharadi,2,1217,15,3,12,0,1,1,1,1,1,Semi-Furnished,1.7,5.9,141.77
Viman Nagar,3,1453,17,16,19,1,1,1,1,0,1,Semi-Furnished,1.3,1.1,269.69
Aundh,2,1012,8,9,10,0,1,0,1,0,1,Semi-Furnished,8.9,9,185.42
Pisoli,1,548,24,12,20,1,1,1,1,0,1,Semi-Furnished,2.5,5.9,25
Aundh,2,933,1,9,17,1,1,0,1,1,1,Unfurnished,2.1,7.7,210.3
Pisoli,3,1316,22,6,16,1,1,1,1,1,1,Semi-Furnished,1.8,2.7,67.26
Mundhwa,2,849,10,5,12,1,1,0,1,1,1,Unfurnished,0.6,1.1,84.84
Bavdhan,3,1393,8,6,7,1,0,1,1,1,1,Semi-Furnished,2,6.7,207.06
Undri,1,698,20,11,11,1,1,1,1,0,1,Semi-Furnished,9.2,4.1,51.16
Kothrud,2,832,15,10,13,0,1,1,1,0,1,Semi-Furnished,14.7,2.3,96.37
Kothrud,3,1433,25,13,20,0,1,0,1,1,1,Unfurnished,3.3,4.6,150.3
Pisoli,1,536,15,11,13,1,0,1,1,0,1,Fully-Furnished,1.2,2,28.27
Kharadi,2,904,0,7,16,2,1,1,1,1,1,Fully-Furnished,0.7,18.4,158.48
Baner,3,1684,8,3,5,1,1,0,1,1,1,Semi-Furnished,4.1,1.8,288.35
Bavdhan,3,1290,22,1,6,0,0,0,1,0,1,Unfurnished,1.3,4.8,116.7
Hadapsar,3,1710,13,4,7,0,0,1,0,0,1,Fully-Furnished,0.8,11.5,194.88
Hinjewadi,2,908,24,6,7,2,0,0,0,1,1,Semi-Furnished,7.1,16.6,66.73
Viman Nagar,2,1043,4,15,16,1,0,0,1,1,1,Unfurnished,3.7,5,186.88
Bavdhan,2,973,4,5,10,1,0,1,1,0,1,Fully-Furnished,1.9,2.5,137.14
Koregaon Park,3,1393,21,4,12,1,1,1,1,0,1,Fully-Furnished,0.8,2.2,388.76
Aundh,2,922,3,8,10,1,0,1,0,0,1,Unfurnished,6.2,4.4,180.43
Warje,3,1905,18,12,16,1,0,0,1,0,1,Semi-Furnished,5.7,3.1,184.21
Koregaon Park,2,1102,1,4,4,1,1,0,1,1,0,Semi-Furnished,1.4,11.5,351.31
Pimpri,1,659,2,7,19,2,0,0,1,1,1,Semi-Furnished,6.2,11.1,52.75
Baner,2,1123,13,1,10,0,1,0,1,0,1,Semi-Furnished,4.1,6.7,143.35
Kharadi,1,738,22,6,7,0,1,0,1,1,1,Unfurnished,1,11.6,65.78
Kothrud,1,583,24,2,11,1,0,1,1,0,1,Semi-Furnished,1.7,7.8,53.13
Pisoli,2,1055,15,17,17,1,1,0,1,0,1,Unfurnished,5.9,4.5,50.41
Aundh,3,1438,0,1,4,0,1,0,0,1,1,Semi-Furnished,3.5,2.5,298.84
Bavdhan,1,665,7,11,16,0,0,0,1,1,1,Unfurnished,5,1.6,84.85
Kondhwa,4,1862,12,4,5,1,1,0,0,0,1,Unfurnished,10.4,3.1,188.32
Chinchwad,2,1091,9,8,10,1,1,1,1,1,1,Semi-Furnished,0.8,14.8,102.16
Aundh,1,555,13,1,3,1,1,1,0,0,1,Unfurnished,1.6,7.2,80.24
Chinchwad,1,613,16,7,10,1,0,1,1,0,1,Fully-Furnished,1.8,5.8,46.33
Kondhwa,2,916,11,3,17,1,1,1,1,1,1,Unfurnished,4.8,1.1,81.2
Hinjewadi,1,757,8,13,13,1,1,0,1,0,1,Fully-Furnished,3.9,4,86.51
Pisoli,1,455,3,8,8,1,1,0,1,0,1,Unfurnished,1,8.9,22.04
Wakad,1,498,25,12,12,1,0,1,1,0,1,Unfurnished,0.8,6.7,49.67
Warje,2,808,21,5,12,1,0,1,1,1,1,Semi-Furnished,9.5,1.8,75.24
Wakad,2,1098,25,1,7,0,1,1,0,1,1,Unfurnished,2.1,6.1,93.27
Baner,2,771,8,1,5,2,0,1,1,0,1,Fully-Furnished,12.9,3.6,108.94
Hadapsar,1,576,14,2,4,2,1,1,1,0,1,Unfurnished,1.2,1.2,54.54
Kharadi,2,812,14,1,7,1,1,1,1,1,1,Semi-Furnished,6.5,4.2,100.78
Baner,2,1051,4,7,16,1,1,0,1,1,1,Unfurnished,4.9,10.3,166.73
Warje,3,1529,11,18,18,1,0,0,1,0,1,Unfurnished,0.9,1.2,199.41
Koregaon Park,3,1439,24,1,11,1,1,0,1,0,1,Unfurnished,5.3,4.3,258.85
Aundh,3,1265,8,2,20,1,1,0,1,0,1,Fully-Furnished,1.2,4.4,308.55
Kharadi,1,613,18,13,13,1,0,0,1,0,1,Semi-Furnished,1.4,9,56.81
Pisoli,3,1311,25,18,18,1,1,0,1,0,1,Semi-Furnished,0.5,1.4,54.58
Hadapsar,3,1310,6,3,7,1,1,1,1,0,1,Semi-Furnished,3.2,2.7,127.4
Hinjewadi,3,1557,16,2,14,1,1,0,0,0,1,Unfurnished,5,1.2,156.69
